ECT.01;ECT.02;ECT.03;ECX.01;ECX.02;ECX.03;ESQ.01;ESQ.02;ET.01;ET.02;ESQ.03;ES.01;ES.02
5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;4;5;5;4;4;4;5;4;5;4;4
4;4;4;4;5;5;4;4;4;4;4;4;4
4;4;4;4;4;4;4;4;5;5;5;5;5
3;4;4;4;4;4;4;3;3;4;3;3;4
5;5;5;5;5;5;5;5;5;5;5;5;5
4;3;4;5;5;5;4;4;4;4;5;4;3
3;2;3;3;2;2;2;2;4;3;3;3;3
4;4;3;3;2;2;4;3;4;4;3;4;4
4;5;5;5;3;3;4;4;4;4;4;4;4
5;5;3;5;2;5;2;3;2;3;3;3;4
3;4;4;4;4;3;3;3;3;4;4;5;5
5;5;5;5;5;5;4;4;5;5;4;4;5
4;4;3;4;3;4;2;4;4;3;4;4;3
3;3;4;4;3;4;2;2;3;3;3;4;4
3;3;3;3;3;3;2;3;3;3;3;5;4
3;3;3;3;3;3;3;3;3;3;3;4;4
5;4;4;5;5;5;5;4;5;5;4;4;4
4;5;3;3;5;5;5;4;5;5;5;5;5
3;3;2;2;3;3;2;2;3;3;3;5;5
4;3;3;3;3;2;2;3;3;3;4;3;4
2;3;3;3;2;3;1;1;3;2;2;3;4
4;4;4;4;4;4;3;3;4;3;3;4;3
3;3;4;3;3;3;3;3;3;3;3;4;3
3;3;3;4;4;3;3;3;3;3;3;3;3
4;2;2;4;4;3;2;2;2;2;2;4;4
5;5;3;4;4;4;5;4;3;3;3;5;3
4;3;5;2;3;5;3;3;2;2;3;3;3
5;4;5;4;4;4;4;4;4;4;4;4;4
4;4;5;5;4;4;3;3;4;3;5;4;4
4;4;5;5;4;5;4;4;4;4;4;4;4
4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;4;4;4;4
4;5;4;5;5;5;5;5;4;5;5;5;4
4;4;4;2;3;4;4;4;4;4;5;4;2
4;4;4;5;3;3;3;3;4;4;3;3;3
5;5;5;5;5;5;3;4;5;3;5;5;5
5;5;5;5;5;5;5;5;5;1;5;5;5
4;4;4;4;3;4;3;4;4;4;4;4;4
4;4;5;5;4;4;3;4;4;3;4;4;4
4;4;4;5;5;4;3;4;3;4;5;4;4
3;3;4;4;3;3;2;2;3;3;2;3;3
3;3;3;3;5;5;5;5;5;5;5;5;5
4;3;4;3;3;2;3;4;4;3;4;4;4
4;4;4;4;3;3;4;4;3;3;3;3;3
4;3;5;4;3;4;4;4;4;4;4;4;3
3;4;4;4;5;4;4;4;4;4;5;3;4
4;4;4;5;4;5;4;5;5;4;5;5;5
